2024-04-02 08:43:42.246 [main] INFO  com.ocan.app.AppVersionApplication:55 - Starting AppVersionApplication on LAPTOP-MI1O0NSR with PID 22712 (D:\User\IdeaProjects\app-version\target\classes started by frozen in D:\User\IdeaProjects\app-version)
2024-04-02 08:43:42.248 [main] INFO  com.ocan.app.AppVersionApplication:655 - The following profiles are active: dev
2024-04-02 08:43:42.811 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:92 - Tomcat initialized with port(s): 49040 (http)
2024-04-02 08:43:42.817 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-49040"]
2024-04-02 08:43:42.817 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2024-04-02 08:43:42.817 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.27]
2024-04-02 08:43:42.856 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/appserver]:173 - Initializing Spring embedded WebApplicationContext
2024-04-02 08:43:42.856 [main] INFO  org.springframework.web.context.ContextLoader:284 - Root WebApplicationContext: initialization completed in 558 ms
2024-04-02 08:43:43.413 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor:171 - Initializing ExecutorService 'applicationTaskExecutor'
2024-04-02 08:43:43.517 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-49040"]
2024-04-02 08:43:43.527 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:204 - Tomcat started on port(s): 49040 (http) with context path '/appserver'
2024-04-02 08:43:43.529 [main] INFO  com.ocan.app.AppVersionApplication:61 - Started AppVersionApplication in 1.579 seconds (JVM running for 2.003)
2024-04-02 08:43:57.661 [http-nio-49040-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/appserver]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-02 08:43:57.661 [http-nio-49040-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2024-04-02 08:43:57.676 [http-nio-49040-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:547 - Completed initialization in 15 ms
2024-04-02 08:43:57.693 [http-nio-49040-exec-1] INFO  com.ocan.app.filter.AuthorizeFilter:52 - 拦截到请求，路径是:/appserver/appVersion/list
2024-04-02 08:43:57.694 [http-nio-49040-exec-1] INFO  com.ocan.app.filter.AuthorizeFilter:56 - 不需要拦截的路径，直接放行
